FlowID,releaseTime,finalTime,waitTime,numReroutes,startNodeID,endNodeID,slowdown
5,0,1,0,0,0,10,1
7,0,1,0,0,20,0,1
16,0,1,0,0,10,0,1
18,0,1,0,0,9,0,1
24,0,1,0,0,19,0,1
35,0,1,0,0,19,0,1
45,0,1,0,0,19,0,1
51,0,1,0,0,10,0,1
53,0,1,0,0,20,0,1
70,0,1,0,0,9,0,1
84,0,1,0,0,0,19,1
86,0,1,0,0,10,0,1
99,0,1,0,0,19,0,1
103,0,1,0,0,20,0,1
115,0,1,0,0,10,0,1
125,0,1,0,0,10,0,1
130,0,1,0,0,10,0,1
134,0,1,0,0,10,0,1
141,0,1,0,0,19,0,1
144,0,1,0,0,19,0,1
150,0,1,0,0,10,0,1
152,0,1,0,0,9,0,1
160,0,1,0,0,20,0,1
164,0,1,0,0,0,20,1
169,0,1,0,0,0,9,1
178,0,1,0,0,10,0,1
181,0,1,0,0,20,0,1
193,0,1,0,0,19,0,1
198,0,1,0,0,10,0,1
211,0,1,0,0,20,0,1
218,0,1,0,0,20,0,1
223,0,1,0,0,10,0,1
227,0,1,0,0,10,0,1
233,0,1,0,0,10,0,1
245,0,1,0,0,20,0,1
247,0,1,0,0,20,0,1
258,0,1,0,0,10,0,1
261,0,1,0,0,20,0,1
276,0,1,0,0,20,0,1
284,0,1,0,0,19,0,1
288,0,1,0,0,20,0,1
304,0,1,0,0,10,0,1
309,0,1,0,0,20,0,1
311,0,1,0,0,19,0,1
316,0,1,0,0,0,9,1
324,0,1,0,0,20,0,1
327,0,1,0,0,10,0,1
330,0,1,0,0,19,0,1
333,0,1,0,0,9,0,1
341,0,1,0,0,9,0,1
347,0,1,0,0,10,0,1
356,0,1,0,0,0,20,1
360,0,1,0,0,10,0,1
376,0,1,0,0,20,0,1
384,0,1,0,0,19,0,1
388,0,1,0,0,9,0,1
390,0,1,0,0,10,0,1
393,0,1,0,0,9,0,1
395,0,1,0,0,9,0,1
398,0,1,0,0,19,0,1
400,0,1,0,0,20,0,1
403,0,1,0,0,0,19,1
449,0,1,0,0,19,0,1
456,0,1,0,0,19,0,1
461,0,1,0,0,20,0,1
467,0,1,0,0,10,0,1
472,0,1,0,0,19,0,1
475,0,1,0,0,19,0,1
485,0,1,0,0,20,0,1
492,0,1,0,0,10,0,1
497,0,1,0,0,9,0,1
506,0,1,0,0,9,0,1
511,0,1,0,0,9,0,1
513,0,1,0,0,20,0,1
521,0,1,0,0,9,0,1
525,0,1,0,0,10,0,1
530,0,1,0,0,20,0,1
533,0,1,0,0,9,0,1
539,0,1,0,0,19,0,1
542,0,1,0,0,20,0,1
546,0,1,0,0,20,0,1
549,0,1,0,0,10,0,1
554,0,1,0,0,19,0,1
565,0,1,0,0,0,10,1
568,0,1,0,0,19,0,1
575,0,1,0,0,20,0,1
583,0,1,0,0,9,0,1
591,0,1,0,0,19,0,1
593,0,1,0,0,20,0,1
597,0,1,0,0,10,0,1
603,0,1,0,0,19,0,1
609,0,1,0,0,20,0,1
622,0,1,0,0,20,0,1
624,0,1,0,0,9,0,1
632,0,1,0,0,10,0,1
638,0,1,0,0,9,0,1
645,0,1,0,0,10,0,1
647,0,1,0,0,9,0,1
650,0,1,0,0,10,0,1
658,0,1,0,0,19,0,1
664,0,1,0,0,10,0,1
667,0,1,0,0,0,19,1
673,0,1,0,0,19,0,1
676,0,1,0,0,9,0,1
681,0,1,0,0,19,0,1
684,0,1,0,0,20,0,1
695,0,1,0,0,9,0,1
704,0,1,0,0,19,0,1
710,0,1,0,0,9,0,1
712,0,1,0,0,9,0,1
714,0,1,0,0,9,0,1
719,0,1,0,0,10,0,1
724,0,1,0,0,20,0,1
727,0,1,0,0,10,0,1
732,0,1,0,0,20,0,1
748,0,1,0,0,0,9,1
751,0,1,0,0,19,0,1
754,0,1,0,0,9,0,1
768,0,1,0,0,20,0,1
772,0,1,0,0,19,0,1
784,0,1,0,0,10,0,1
787,0,1,0,0,9,0,1
789,0,1,0,0,9,0,1
796,0,1,0,0,20,0,1
799,0,1,0,0,19,0,1
801,0,1,0,0,20,0,1
803,0,1,0,0,10,0,1
806,0,1,0,0,0,19,1
810,0,1,0,0,19,0,1
812,0,1,0,0,19,0,1
818,0,1,0,0,19,0,1
822,0,1,0,0,0,9,1
826,0,1,0,0,10,0,1
847,0,1,0,0,20,0,1
868,0,1,0,0,20,0,1
872,0,1,0,0,19,0,1
885,0,1,0,0,9,0,1
887,0,1,0,0,19,0,1
890,0,1,0,0,9,0,1
892,0,1,0,0,20,0,1
897,0,1,0,0,0,20,1
900,0,1,0,0,20,0,1
908,0,1,0,0,9,0,1
912,0,1,0,0,19,0,1
915,0,1,0,0,19,0,1
927,0,1,0,0,10,0,1
935,0,1,0,0,9,0,1
940,0,1,0,0,9,0,1
946,0,1,0,0,9,0,1
949,0,1,0,0,0,9,1
962,0,1,0,0,20,0,1
967,0,1,0,0,19,0,1
972,0,1,0,0,20,0,1
980,0,1,0,0,19,0,1
983,0,1,0,0,10,0,1
1002,0,1,0,0,19,0,1
1010,0,1,0,0,20,0,1
1021,0,1,0,0,10,0,1
1026,0,1,0,0,19,0,1
1033,0,1,0,0,20,0,1
1038,0,1,0,0,19,0,1
1040,0,1,0,0,10,0,1
1043,0,1,0,0,10,0,1
1045,0,1,0,0,20,0,1
1048,0,1,0,0,20,0,1
1055,0,1,0,0,9,0,1
1057,0,1,0,0,0,9,1
1067,0,1,0,0,19,0,1
1071,0,1,0,0,10,0,1
1077,0,1,0,0,10,0,1
1080,0,1,0,0,10,0,1
1085,0,1,0,0,10,0,1
1088,0,1,0,0,9,0,1
1091,0,1,0,0,0,20,1
1103,0,1,0,0,20,0,1
1105,0,1,0,0,19,0,1
1114,0,1,0,0,19,0,1
1117,0,1,0,0,19,0,1
1122,0,1,0,0,20,0,1
1132,0,1,0,0,20,0,1
1140,0,1,0,0,10,0,1
1144,0,1,0,0,10,0,1
1151,0,1,0,0,10,0,1
1161,0,1,0,0,19,0,1
1163,0,1,0,0,9,0,1
1174,0,1,0,0,9,0,1
1177,0,1,0,0,9,0,1
1182,0,1,0,0,10,0,1
1190,0,1,0,0,20,0,1
1197,0,1,0,0,20,0,1
1202,0,1,0,0,9,0,1
1204,0,1,0,0,19,0,1
1206,0,1,0,0,10,0,1
1208,0,1,0,0,9,0,1
1211,0,1,0,0,19,0,1
1214,0,1,0,0,20,0,1
1221,0,1,0,0,10,0,1
1224,0,1,0,0,19,0,1
1230,0,1,0,0,9,0,1
1237,0,1,0,0,10,0,1
1241,0,1,0,0,19,0,1
1252,0,1,0,0,10,0,1
1259,0,1,0,0,20,0,1
1265,0,1,0,0,10,0,1
1277,0,1,0,0,19,0,1
1283,0,1,0,0,20,0,1
1290,0,1,0,0,9,0,1
1293,0,1,0,0,19,0,1
1299,0,1,0,0,20,0,1
1305,0,1,0,0,9,0,1
1314,0,1,0,0,9,0,1
1328,0,1,0,0,9,0,1
1342,0,1,0,0,10,0,1
1365,0,1,0,0,10,0,1
1371,0,1,0,0,9,0,1
1379,0,1,0,0,20,0,1
1385,0,1,0,0,20,0,1
1408,0,1,0,0,9,0,1
1425,0,1,0,0,19,0,1
1428,0,1,0,0,9,0,1
1435,0,1,0,0,20,0,1
1437,0,1,0,0,19,0,1
1441,0,1,0,0,20,0,1
1450,0,1,0,0,20,0,1
1456,0,1,0,0,19,0,1
1477,0,1,0,0,20,0,1
1482,0,1,0,0,10,0,1
1490,0,1,0,0,9,0,1
1493,0,1,0,0,9,0,1
1510,0,1,0,0,10,0,1
1520,0,1,0,0,9,0,1
1533,0,1,0,0,19,0,1
1539,0,1,0,0,20,0,1
1545,0,1,0,0,20,0,1
1555,0,1,0,0,19,0,1
1557,0,1,0,0,20,0,1
1560,0,1,0,0,9,0,1
1564,0,1,0,0,10,0,1
1567,0,1,0,0,19,0,1
1569,0,1,0,0,9,0,1
1578,0,1,0,0,10,0,1
1580,0,1,0,0,0,9,1
1583,0,1,0,0,9,0,1
1586,0,1,0,0,19,0,1
1603,0,1,0,0,20,0,1
1607,0,1,0,0,9,0,1
1610,0,1,0,0,10,0,1
1613,0,1,0,0,10,0,1
1616,0,1,0,0,19,0,1
1618,0,1,0,0,20,0,1
1620,0,1,0,0,19,0,1
1635,0,1,0,0,9,0,1
1655,0,1,0,0,19,0,1
1660,0,1,0,0,9,0,1
1680,0,1,0,0,19,0,1
1683,0,1,0,0,9,0,1
1685,0,1,0,0,20,0,1
1688,0,1,0,0,9,0,1
1691,0,1,0,0,19,0,1
1693,0,1,0,0,20,0,1
1713,0,1,0,0,20,0,1
1716,0,1,0,0,19,0,1
1720,0,1,0,0,10,0,1
1722,0,1,0,0,19,0,1
1724,0,1,0,0,10,0,1
1730,0,1,0,0,10,0,1
1733,0,1,0,0,9,0,1
1739,0,1,0,0,9,0,1
1741,0,1,0,0,20,0,1
1745,0,1,0,0,19,0,1
1753,0,1,0,0,19,0,1
1757,0,1,0,0,0,20,1
1764,0,1,0,0,9,0,1
1767,0,1,0,0,9,0,1
1770,0,1,0,0,10,0,1
1772,0,1,0,0,19,0,1
1790,0,1,0,0,0,19,1
1792,0,1,0,0,10,0,1
1796,0,1,0,0,10,0,1
1805,0,1,0,0,20,0,1
1807,0,1,0,0,20,0,1
1811,0,1,0,0,19,0,1
1814,0,1,0,0,9,0,1
1823,0,1,0,0,20,0,1
1826,0,1,0,0,20,0,1
1842,0,1,0,0,10,0,1
1857,0,1,0,0,9,0,1
1871,0,1,0,0,19,0,1
1878,0,1,0,0,9,0,1
1880,0,1,0,0,10,0,1
1885,0,1,0,0,0,10,1
1906,0,1,0,0,10,0,1
1909,0,1,0,0,19,0,1
1919,0,1,0,0,9,0,1
1922,0,1,0,0,20,0,1
1924,0,1,0,0,9,0,1
1935,0,1,0,0,20,0,1
1938,0,1,0,0,9,0,1
1942,0,1,0,0,20,0,1
1945,0,1,0,0,20,0,1
1949,0,1,0,0,10,0,1
1951,0,1,0,0,9,0,1
1963,0,1,0,0,0,20,1
1968,0,1,0,0,20,0,1
1970,0,1,0,0,20,0,1
1982,0,1,0,0,20,0,1
1988,0,1,0,0,20,0,1
1997,0,1,0,0,9,0,1
2007,0,1,0,0,19,0,1
2013,0,1,0,0,19,0,1
2020,0,1,0,0,19,0,1
2038,0,1,0,0,20,0,1
2043,0,1,0,0,19,0,1
2054,0,1,0,0,9,0,1
2057,0,1,0,0,10,0,1
2064,0,1,0,0,10,0,1
2070,0,1,0,0,9,0,1
2074,0,1,0,0,19,0,1
2085,0,1,0,0,10,0,1
2087,0,1,0,0,20,0,1
2099,0,1,0,0,9,0,1
2104,0,1,0,0,10,0,1
2112,0,1,0,0,10,0,1
2115,0,1,0,0,19,0,1
2118,0,1,0,0,20,0,1
2133,0,1,0,0,19,0,1
2156,0,1,0,0,20,0,1
2162,0,1,0,0,9,0,1
2165,0,1,0,0,0,19,1
2177,0,1,0,0,9,0,1
2195,0,1,0,0,9,0,1
2197,0,1,0,0,10,0,1
2203,0,1,0,0,19,0,1
2214,0,1,0,0,19,0,1
2216,0,1,0,0,9,0,1
2226,0,1,0,0,9,0,1
2228,0,1,0,0,9,0,1
2231,0,1,0,0,9,0,1
2234,0,1,0,0,10,0,1
2236,0,1,0,0,10,0,1
2242,0,1,0,0,10,0,1
2259,0,1,0,0,19,0,1
2270,0,1,0,0,20,0,1
2280,0,1,0,0,0,19,1
2290,0,1,0,0,20,0,1
2296,0,1,0,0,10,0,1
2302,0,1,0,0,9,0,1
2305,0,1,0,0,20,0,1
2307,0,1,0,0,10,0,1
2310,0,1,0,0,20,0,1
2317,0,1,0,0,19,0,1
2334,0,1,0,0,10,0,1
2339,0,1,0,0,20,0,1
2348,0,1,0,0,20,0,1
2350,0,1,0,0,20,0,1
2352,0,1,0,0,10,0,1
